Fecha,USDCOP,EURCOP
2020-01-01,3280,3638
2020-01-02,3280,3638
2020-01-03,3253,3627
2020-01-04,3253,3627
2020-01-05,3253,3627
2020-01-06,3257,3572
2020-01-07,3244,3596
2020-01-08,3274,3580
2020-01-09,3240,3595
2020-01-10,3255,3550
2020-01-11,3255,3550
2020-01-12,3255,3550
2020-01-13,3204,3563
2020-01-14,3269,3589
2020-01-15,3287,3591
2020-01-16,3298,3616
2020-01-17,3321,3633
2020-01-18,3321,3633
2020-01-19,3321,3633
2020-01-20,3331,3647
2020-01-21,3331,3644
2020-01-22,3354,3653
2020-01-23,3330,3668
2020-01-24,3360,3645
2020-01-25,3360,3645
2020-01-26,3360,3645
2020-01-27,3363,3659
2020-01-28,3398,3660
2020-01-29,3384,3695
2020-01-30,3386,3676
2020-01-31,3413,3684
2020-02-01,3413,3684
2020-02-02,3413,3684
2020-02-03,3418,3719
2020-02-04,3394,3733
2020-02-05,3393,3703
2020-02-06,3363,3656
2020-02-07,3379,3649
2020-02-08,3379,3649
2020-02-09,3379,3649
2020-02-10,3408,3652
2020-02-11,3455,3690
2020-02-12,3419,3719
2020-02-13,3386,3682
2020-02-14,3375,3629
2020-02-15,3375,3629
2020-02-16,3375,3629
2020-02-17,3388,3609
2020-02-18,3395,3626
2020-02-19,3287,3627
2020-02-20,3384,3623
2020-02-21,3403,3605
2020-02-22,3403,3605
2020-02-23,3403,3605
2020-02-24,3394,3629
2020-02-25,3428,3609
2020-02-26,3435,3667
2020-02-27,3456,3690
2020-02-28,3500,3735
2020-02-29,3500,3735
2020-03-01,3500,3735
2020-03-02,3499,3800
2020-03-03,3458,3872
2020-03-04,3460,3798
2020-03-05,3478,3809
2020-03-06,3540,3842
2020-03-07,3540,3842
2020-03-08,3540,3842
2020-03-09,3588,3964
2020-03-10,3803,4051
2020-03-11,3763,4282
2020-03-12,3743,4215
2020-03-13,4023,4324
2020-03-14,4023,4324
2020-03-15,4023,4324
2020-03-16,3975,4440
2020-03-17,4078,4459
2020-03-18,3997,4443
2020-03-19,4156,4339
2020-03-20,4087,4420
2020-03-21,4087,4420
2020-03-22,4087,4420
2020-03-23,4119,4330
2020-03-24,4175,4353
2020-03-25,4174,4488
2020-03-26,4064,4395
2020-03-27,3980,4404
2020-03-28,3980,4404
2020-03-29,3980,4404
2020-03-30,3893,4332
2020-03-31,4062,4405
2020-04-01,4057,4399
2020-04-02,4085,4400
2020-04-03,4038,4413
2020-04-04,4038,4413
2020-04-05,4038,4413
2020-04-06,4027,4313
2020-04-07,3979,4302
2020-04-08,3906,4281
2020-04-09,3897,4197
2020-04-10,3827,4183
2020-04-11,3827,4183
2020-04-12,3827,4183
2020-04-13,3825,4183
2020-04-14,3866,4183
2020-04-15,3847,4190
2020-04-16,3910,4149
2020-04-17,3973,4214
2020-04-18,3973,4214
2020-04-19,3973,4214
2020-04-20,3933,4260
2020-04-21,3975,4226
2020-04-22,4046,4258
2020-04-23,4026,4352
2020-04-24,4020,4294
2020-04-25,4020,4294
2020-04-26,4020,4294
2020-04-27,4040,4286
2020-04-28,4034,4338
2020-04-29,4033,4369
2020-04-30,3919,4329
2020-05-01,3953,4215
2020-05-02,3953,4215
2020-05-03,3953,4215
2020-05-04,3954,4215
2020-05-05,3987,4278
2020-05-06,3926,4271
2020-05-07,3962,4198
2020-05-08,3919,4224
2020-05-09,3919,4224
2020-05-10,3919,4224
2020-05-11,3895,4203
2020-05-12,3896,4162
2020-05-13,3883,4173
2020-05-14,3906,4171
2020-05-15,3940,4173
2020-05-16,3940,4173
2020-05-17,3940,4173
2020-05-18,3911,4212
2020-05-19,3851,4182
2020-05-20,3831,4176
2020-05-21,3815,4152
2020-05-22,3769,4141
2020-05-23,3769,4141
2020-05-24,3769,4141
2020-05-25,3773,4061
2020-05-26,3777,4065
2020-05-27,3730,4086
2020-05-28,3734,4060
2020-05-29,3698,4061
2020-05-30,3698,4061
2020-05-31,3698,4061
2020-06-01,3728,4068
2020-06-02,3710,4093
2020-06-03,3635,4105
2020-06-04,3605,4023
2020-06-05,3587,3992
2020-06-06,3587,3992
2020-06-07,3587,3992
2020-06-08,3571,4015
2020-06-09,3608,3977
2020-06-10,3656,4023
2020-06-11,3670,4107
2020-06-12,3768,4129
2020-06-13,3768,4129
2020-06-14,3768,4129
2020-06-15,3777,4215
2020-06-16,3773,4200
2020-06-17,3745,4226
2020-06-18,3746,4163
2020-06-19,3749,4171
2020-06-20,3749,4171
2020-06-21,3749,4171
2020-06-22,3746,4153
2020-06-23,3726,4153
2020-06-24,3700,4159
2020-06-25,3727,4135
2020-06-26,3730,4130
2020-06-27,3730,4130
2020-06-28,3730,4130
2020-06-29,3728,4140
2020-06-30,3744,4184
2020-07-01,3756,4155
2020-07-02,3714,4161
2020-07-03,3644,4141
2020-07-04,3644,4141
2020-07-05,3644,4141
2020-07-06,3648,4046
2020-07-07,3633,4073
2020-07-08,3624,4052
2020-07-09,3639,4041
2020-07-10,3622,4073
2020-07-11,3622,4073
2020-07-12,3622,4073
2020-07-13,3621,4042
2020-07-14,3616,4040
2020-07-15,3622,4066
2020-07-16,3622,4096
2020-07-17,3639,4079
2020-07-18,3639,4079
2020-07-19,3639,4079
2020-07-20,3651,4109
2020-07-21,3650,4132
2020-07-22,3613,4129
2020-07-23,3634,4142
2020-07-24,3667,4166
2020-07-25,3667,4166
2020-07-26,3667,4166
2020-07-27,3689,4200
2020-07-28,3674,4282
2020-07-29,3721,4264
2020-07-30,3704,4327
2020-07-31,3720,4303
2020-08-01,3720,4303
2020-08-02,3720,4303
2020-08-03,3732,4359
2020-08-04,3768,4327
2020-08-05,3780,4383
2020-08-06,3774,4430
2020-08-07,3741,4421
2020-08-08,3741,4421
2020-08-09,3741,4421
2020-08-10,3761,4375
2020-08-11,3770,4347
2020-08-12,3741,4400
2020-08-13,3754,4355
2020-08-14,3770,4401
2020-08-15,3770,4401
2020-08-16,3770,4401
2020-08-17,3788,4405
2020-08-18,3791,4441
2020-08-19,3782,4464
2020-08-20,3756,4468
2020-08-21,3802,4399
2020-08-22,3802,4399
2020-08-23,3802,4399
2020-08-24,3834,4440
2020-08-25,3855,4490
2020-08-26,3866,4511
2020-08-27,3834,4519
2020-08-28,3815,4482
2020-08-29,3815,4482
2020-08-30,3815,4482
2020-08-31,3744,4490
2020-09-01,3739,4414
2020-09-02,3674,4434
2020-09-03,3656,4314
2020-09-04,3668,4271
2020-09-05,3668,4271
2020-09-06,3668,4271
2020-09-07,3713,4323
2020-09-08,3713,4341
2020-09-09,3737,4334
2020-09-10,3712,4345
2020-09-11,3708,4346
2020-09-12,3708,4346
2020-09-13,3708,4346
2020-09-14,3704,4350
2020-09-15,3687,4350
2020-09-16,3698,4343
2020-09-17,3684,4338
2020-09-18,3713,4301
2020-09-19,3713,4301
2020-09-20,3713,4301
2020-09-21,3728,4349
2020-09-22,3787,4353
2020-09-23,3826,4408
2020-09-24,3824,4432
2020-09-25,3825,4447
2020-09-26,3825,4447
2020-09-27,3825,4447
2020-09-28,3885,4406
2020-09-29,3871,4482
2020-09-30,3885,4481
2020-10-01,3825,4502
2020-10-02,3844,4444
2020-10-03,3844,4444
2020-10-04,3844,4444
2020-10-05,3870,4454
2020-10-06,3828,4501
2020-10-07,3831,4461
2020-10-08,3842,4457
2020-10-09,3838,4471
2020-10-10,3838,4471
2020-10-11,3838,4471
2020-10-12,3826,4482
2020-10-13,3826,4466
2020-10-14,3860,4464
2020-10-15,3837,4482
2020-10-16,3849,4449
2020-10-17,3849,4449
2020-10-18,3849,4449
2020-10-19,3846,4462
2020-10-20,3843,4478
2020-10-21,3823,4492
2020-10-22,3765,4486
2020-10-23,3782,4406
2020-10-24,3782,4406
2020-10-25,3782,4406
2020-10-26,3788,4432
2020-10-27,3813,4430
2020-10-28,3808,4461
2020-10-29,3828,4421
2020-10-30,3860,4433
2020-10-31,3860,4433
2020-11-01,3860,4433
2020-11-02,3888,4457
2020-11-03,3868,4453
2020-11-04,3818,4480
2020-11-05,3814,4421
2020-11-06,3752,4457
2020-11-07,3752,4457
2020-11-08,3752,4457
2020-11-09,3721,4409
2020-11-10,3647,4376
2020-11-11,3647,4256
2020-11-12,3637,4224
2020-11-13,3642,4248
2020-11-14,3642,4248
2020-11-15,3642,4248
2020-11-16,3640,4257
2020-11-17,3643,4262
2020-11-18,3643,4279
2020-11-19,3642,4277
2020-11-20,3648,4263
2020-11-21,3648,4263
2020-11-22,3648,4263
2020-11-23,3631,4279
2020-11-24,3646,4275
2020-11-25,3634,4279
2020-11-26,3616,4270
2020-11-27,3616,4256
2020-11-28,3616,4256
2020-11-29,3616,4256
2020-11-30,3605,4263
2020-12-01,3595,4274
2020-12-02,3547,4255
2020-12-03,3520,4227
2020-12-04,3467,4226
2020-12-05,3467,4226
2020-12-06,3467,4226
2020-12-07,3464,4171
2020-12-08,3488,4148
2020-12-09,3489,4176
2020-12-10,3475,4178
2020-12-11,3419,4151
2020-12-12,3419,4151
2020-12-13,3419,4151
2020-12-14,3436,4096
2020-12-15,3426,4129
2020-12-16,3418,4119
2020-12-17,3419,4120
2020-12-18,3412,4136
2020-12-19,3412,4136
2020-12-20,3412,4136
2020-12-21,3418,4134
2020-12-22,3429,4109
2020-12-23,3463,4151
2020-12-24,3498,4174
2020-12-25,3503,4219
2020-12-26,3503,4219
2020-12-27,3503,4219
2020-12-28,3513,4219
2020-12-29,3498,4237
2020-12-30,3473,4237
2020-12-31,3420,4214
