Fecha,Empresa,Moneda,Ventas
2020-01-01,Empresa A,USD,199.07
2020-01-02,Empresa A,USD,267.99
2020-01-03,Empresa A,USD,277.83
2020-01-04,Empresa A,USD,322.58
2020-01-05,Empresa A,USD,370.61
2020-01-06,Empresa A,USD,312.12
2020-01-07,Empresa A,USD,349.22
2020-01-08,Empresa A,USD,264.33
2020-01-09,Empresa A,USD,318.3
2020-01-10,Empresa A,USD,245.94
2020-01-11,Empresa A,USD,252.8
2020-01-12,Empresa A,USD,182.11
2020-01-13,Empresa A,USD,227.97
2020-01-14,Empresa A,USD,207.81
2020-01-15,Empresa A,USD,204.09
2020-01-16,Empresa A,USD,193.68
2020-01-17,Empresa A,USD,160.96
2020-01-18,Empresa A,USD,221.34
2020-01-19,Empresa A,USD,234.64
2020-01-20,Empresa A,USD,255.76
2020-01-21,Empresa A,USD,210.74
2020-01-22,Empresa A,USD,203.5
2020-01-23,Empresa A,USD,167.85
2020-01-24,Empresa A,USD,217.41
2020-01-25,Empresa A,USD,241.27
2020-01-26,Empresa A,USD,222.76
2020-01-27,Empresa A,USD,257.99
2020-01-28,Empresa A,USD,220.98
2020-01-29,Empresa A,USD,185.53
2020-01-30,Empresa A,USD,188.98
2020-01-31,Empresa A,USD,152.6
2020-02-01,Empresa A,USD,252.41
2020-02-02,Empresa A,USD,189.19
2020-02-03,Empresa A,USD,287.47
2020-02-04,Empresa A,USD,193.99
2020-02-05,Empresa A,USD,170.79
2020-02-06,Empresa A,USD,229.22
2020-02-07,Empresa A,USD,181.55
2020-02-08,Empresa A,USD,256.69
2020-02-09,Empresa A,USD,229.13
2020-02-10,Empresa A,USD,213.87
2020-02-11,Empresa A,USD,188.62
2020-02-12,Empresa A,USD,153.81
2020-02-13,Empresa A,USD,202.12
2020-02-14,Empresa A,USD,249.52
2020-02-15,Empresa A,USD,177.54
2020-02-16,Empresa A,USD,241.28
2020-02-17,Empresa A,USD,212.16
2020-02-18,Empresa A,USD,243.4
2020-02-19,Empresa A,USD,242.59
2020-02-20,Empresa A,USD,268.05
2020-02-21,Empresa A,USD,156.02
2020-02-22,Empresa A,USD,250.03
2020-02-23,Empresa A,USD,190.86
2020-02-24,Empresa A,USD,202.81
2020-02-25,Empresa A,USD,185.78
2020-02-26,Empresa A,USD,218.64
2020-02-27,Empresa A,USD,201.64
2020-02-28,Empresa A,USD,157.44
2020-02-29,Empresa A,USD,239.79
2020-03-01,Empresa A,USD,216.32
2020-03-02,Empresa A,USD,203.39
2020-03-03,Empresa A,USD,236.51
2020-03-04,Empresa A,USD,254.28
2020-03-05,Empresa A,USD,226.24
2020-03-06,Empresa A,USD,159.88
2020-03-07,Empresa A,USD,174.33
2020-03-08,Empresa A,USD,216.15
2020-03-09,Empresa A,USD,281.21
2020-03-10,Empresa A,USD,217.39
2020-03-11,Empresa A,USD,167.03
2020-03-12,Empresa A,USD,139.09
2020-03-13,Empresa A,USD,218.77
2020-03-14,Empresa A,USD,183.41
2020-03-15,Empresa A,USD,231.41
2020-03-16,Empresa A,USD,190.73
2020-03-17,Empresa A,USD,186.62
2020-03-18,Empresa A,USD,225.18
2020-03-19,Empresa A,USD,164.22
2020-03-20,Empresa A,USD,240.78
2020-03-21,Empresa A,USD,187.59
2020-03-22,Empresa A,USD,216.89
2020-03-23,Empresa A,USD,186.77
2020-03-24,Empresa A,USD,192.56
2020-03-25,Empresa A,USD,150.93
2020-03-26,Empresa A,USD,189.85
2020-03-27,Empresa A,USD,182.88
2020-03-28,Empresa A,USD,173.83
2020-03-29,Empresa A,USD,174.92
2020-03-30,Empresa A,USD,180.24
2020-03-31,Empresa A,USD,199.01
2020-04-01,Empresa A,USD,213.37
